word,bucket
shg,shgsynonyms
self help group,shgsynonyms
mutual aid,shgsynonyms
mutual aid group,shgsynonyms
support group,shgsynonyms
voluntary group,shgsynonyms
savings group,shgsynonyms
save,outcomes
credit,outcomes
social involvement,outcomes
empowerment,outcomes
access to resources,outcomes
financial gain,outcomes
Agriculture,programs
Nutrition,programs
Financial Service, programs
MNCH,programs
social change,outcomes
economic,objective
legal,objective
health,objective
cultur,objective
entrepreneur,trainings
rights,trainings
polit,trainings
education,trainings
justice,trainings
economic,outcomes
political,outcomes
psych,outcomes
reproduct,outcomes
social,outcomes
